origins,destinations,durations,departure_times,distance
"102-29 215th St, Jamaica, NY 11429, USA","259 1st St, Mineola, NY 11501, USA",48 mins,1611579600,7.1 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","56-45 Main St, Flushing, NY 11355, USA",1 hour 23 mins,1611579600,17.3 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","900 Franklin Ave, Valley Stream, NY 11580, USA",2 hours 11 mins,1611579600,28.5 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","760 Broadway, Brooklyn, NY 11206, USA",1 hour 5 mins,1611579600,13.3 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","800 Poly Pl, Brooklyn, NY 11209, USA",1 hour 31 mins,1611579600,19.6 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","259 1st St, Mineola, NY 11501, USA",2 hours 14 mins,1611579600,28.8 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","56-45 Main St, Flushing, NY 11355, USA",1 hour 10 mins,1611579600,8.0 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","900 Franklin Ave, Valley Stream, NY 11580, USA",2 hours 35 mins,1611579600,20.1 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","760 Broadway, Brooklyn, NY 11206, USA",1 hour 46 mins,1611579600,17.4 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","800 Poly Pl, Brooklyn, NY 11209, USA",2 hours 11 mins,1611579600,23.7 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","259 1st St, Mineola, NY 11501, USA",2 hours 25 mins,1611579600,18.8 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","56-45 Main St, Flushing, NY 11355, USA",1 hour 47 mins,1611581400,13.5 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","900 Franklin Ave, Valley Stream, NY 11580, USA",2 hours 42 mins,1611581400,18.9 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","760 Broadway, Brooklyn, NY 11206, USA",1 hour 5 mins,1611581400,6.2 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","800 Poly Pl, Brooklyn, NY 11209, USA",1 hour 29 mins,1611581400,8.9 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","259 1st St, Mineola, NY 11501, USA",2 hours 30 mins,1611581400,20.9 mi
"108-35 167th St, Jamaica, NY 11433, USA","56-45 Main St, Flushing, NY 11355, USA",51 mins,1611581400,5.7 mi
"108-35 167th St, Jamaica, NY 11433, USA","900 Franklin Ave, Valley Stream, NY 11580, USA",55 mins,1611581400,9.4 mi
"108-35 167th St, Jamaica, NY 11433, USA","760 Broadway, Brooklyn, NY 11206, USA",1 hour 4 mins,1611581400,10.1 mi
"108-35 167th St, Jamaica, NY 11433, USA","800 Poly Pl, Brooklyn, NY 11209, USA",2 hours 1 min,1611581400,20.0 mi
