origins,destinations,departure_times,travel_time,departure_dt,hour,date
"102-29 215th St, Jamaica, NY 11429, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1607950800,123,2020-12-14 08:00:00-05:00,8,2020-12-14
"102-29 215th St, Jamaica, NY 11429, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1607950800,105,2020-12-14 08:00:00-05:00,8,2020-12-14
"102-29 215th St, Jamaica, NY 11429, USA","25-10 30th Ave, Queens, NY 11102, USA",1607950800,81,2020-12-14 08:00:00-05:00,8,2020-12-14
"102-29 215th St, Jamaica, NY 11429, USA","506 Lenox Ave, New York, NY 10037, USA",1607950800,94,2020-12-14 08:00:00-05:00,8,2020-12-14
"1290 St Nicholas Ave, New York, NY 10033, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1607950800,69,2020-12-14 08:00:00-05:00,8,2020-12-14
"1290 St Nicholas Ave, New York, NY 10033, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1607950800,46,2020-12-14 08:00:00-05:00,8,2020-12-14
"1290 St Nicholas Ave, New York, NY 10033, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1607950800,9,2020-12-14 08:00:00-05:00,8,2020-12-14
"1290 St Nicholas Ave, New York, NY 10033, USA","25-10 30th Ave, Queens, NY 11102, USA",1607950800,53,2020-12-14 08:00:00-05:00,8,2020-12-14
"1290 St Nicholas Ave, New York, NY 10033, USA","506 Lenox Ave, New York, NY 10037, USA",1607950800,32,2020-12-14 08:00:00-05:00,8,2020-12-14
"2300 Randall Ave, The Bronx, NY 10473, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1607950800,46,2020-12-14 08:00:00-05:00,8,2020-12-14
"2300 Randall Ave, The Bronx, NY 10473, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1607950800,55,2020-12-14 08:00:00-05:00,8,2020-12-14
"2300 Randall Ave, The Bronx, NY 10473, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1607950800,74,2020-12-14 08:00:00-05:00,8,2020-12-14
"2300 Randall Ave, The Bronx, NY 10473, USA","25-10 30th Ave, Queens, NY 11102, USA",1607950800,82,2020-12-14 08:00:00-05:00,8,2020-12-14
"2300 Randall Ave, The Bronx, NY 10473, USA","506 Lenox Ave, New York, NY 10037, USA",1607950800,64,2020-12-14 08:00:00-05:00,8,2020-12-14
"1500 E 92nd St, Brooklyn, NY 11236, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1607952600,135,2020-12-14 08:30:00-05:00,8,2020-12-14
"1500 E 92nd St, Brooklyn, NY 11236, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1607952600,134,2020-12-14 08:30:00-05:00,8,2020-12-14
"1500 E 92nd St, Brooklyn, NY 11236, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1607952600,102,2020-12-14 08:30:00-05:00,8,2020-12-14
"1500 E 92nd St, Brooklyn, NY 11236, USA","25-10 30th Ave, Queens, NY 11102, USA",1607952600,96,2020-12-14 08:30:00-05:00,8,2020-12-14
"1500 E 92nd St, Brooklyn, NY 11236, USA","506 Lenox Ave, New York, NY 10037, USA",1607952600,96,2020-12-14 08:30:00-05:00,8,2020-12-14
"108-35 167th St, Queens, NY 11433, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1607952600,113,2020-12-14 08:30:00-05:00,8,2020-12-14
"108-35 167th St, Queens, NY 11433, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1607952600,107,2020-12-14 08:30:00-05:00,8,2020-12-14
"108-35 167th St, Queens, NY 11433, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1607952600,87,2020-12-14 08:30:00-05:00,8,2020-12-14
"108-35 167th St, Queens, NY 11433, USA","25-10 30th Ave, Queens, NY 11102, USA",1607952600,68,2020-12-14 08:30:00-05:00,8,2020-12-14
"108-35 167th St, Queens, NY 11433, USA","506 Lenox Ave, New York, NY 10037, USA",1607952600,78,2020-12-14 08:30:00-05:00,8,2020-12-14
"102-29 215th St, Jamaica, NY 11429, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1607952600,125,2020-12-14 08:30:00-05:00,8,2020-12-14
"102-29 215th St, Jamaica, NY 11429, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1607952600,116,2020-12-14 08:30:00-05:00,8,2020-12-14
"102-29 215th St, Jamaica, NY 11429, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1607952600,107,2020-12-14 08:30:00-05:00,8,2020-12-14
"102-29 215th St, Jamaica, NY 11429, USA","25-10 30th Ave, Queens, NY 11102, USA",1607952600,75,2020-12-14 08:30:00-05:00,8,2020-12-14
"102-29 215th St, Jamaica, NY 11429, USA","506 Lenox Ave, New York, NY 10037, USA",1607952600,91,2020-12-14 08:30:00-05:00,8,2020-12-14
"1290 St Nicholas Ave, New York, NY 10033, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1607952600,61,2020-12-14 08:30:00-05:00,8,2020-12-14
"1290 St Nicholas Ave, New York, NY 10033, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1607952600,43,2020-12-14 08:30:00-05:00,8,2020-12-14
"1290 St Nicholas Ave, New York, NY 10033, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1607952600,6,2020-12-14 08:30:00-05:00,8,2020-12-14
"1290 St Nicholas Ave, New York, NY 10033, USA","25-10 30th Ave, Queens, NY 11102, USA",1607952600,53,2020-12-14 08:30:00-05:00,8,2020-12-14
"1290 St Nicholas Ave, New York, NY 10033, USA","506 Lenox Ave, New York, NY 10037, USA",1607952600,32,2020-12-14 08:30:00-05:00,8,2020-12-14
"2300 Randall Ave, The Bronx, NY 10473, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1607952600,44,2020-12-14 08:30:00-05:00,8,2020-12-14
"2300 Randall Ave, The Bronx, NY 10473, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1607952600,52,2020-12-14 08:30:00-05:00,8,2020-12-14
"2300 Randall Ave, The Bronx, NY 10473, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1607952600,70,2020-12-14 08:30:00-05:00,8,2020-12-14
"2300 Randall Ave, The Bronx, NY 10473, USA","25-10 30th Ave, Queens, NY 11102, USA",1607952600,80,2020-12-14 08:30:00-05:00,8,2020-12-14
"2300 Randall Ave, The Bronx, NY 10473, USA","506 Lenox Ave, New York, NY 10037, USA",1607952600,58,2020-12-14 08:30:00-05:00,8,2020-12-14
"1500 E 92nd St, Brooklyn, NY 11236, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1607954400,130,2020-12-14 09:00:00-05:00,9,2020-12-14
"1500 E 92nd St, Brooklyn, NY 11236, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1607954400,119,2020-12-14 09:00:00-05:00,9,2020-12-14
"1500 E 92nd St, Brooklyn, NY 11236, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1607954400,99,2020-12-14 09:00:00-05:00,9,2020-12-14
"1500 E 92nd St, Brooklyn, NY 11236, USA","25-10 30th Ave, Queens, NY 11102, USA",1607954400,97,2020-12-14 09:00:00-05:00,9,2020-12-14
"1500 E 92nd St, Brooklyn, NY 11236, USA","506 Lenox Ave, New York, NY 10037, USA",1607954400,97,2020-12-14 09:00:00-05:00,9,2020-12-14
"108-35 167th St, Queens, NY 11433, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1607954400,111,2020-12-14 09:00:00-05:00,9,2020-12-14
"108-35 167th St, Queens, NY 11433, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1607954400,98,2020-12-14 09:00:00-05:00,9,2020-12-14
"108-35 167th St, Queens, NY 11433, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1607954400,84,2020-12-14 09:00:00-05:00,9,2020-12-14
"108-35 167th St, Queens, NY 11433, USA","25-10 30th Ave, Queens, NY 11102, USA",1607954400,68,2020-12-14 09:00:00-05:00,9,2020-12-14
"108-35 167th St, Queens, NY 11433, USA","506 Lenox Ave, New York, NY 10037, USA",1607954400,81,2020-12-14 09:00:00-05:00,9,2020-12-14
"102-29 215th St, Jamaica, NY 11429, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1607954400,123,2020-12-14 09:00:00-05:00,9,2020-12-14
"102-29 215th St, Jamaica, NY 11429, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1607954400,118,2020-12-14 09:00:00-05:00,9,2020-12-14
"102-29 215th St, Jamaica, NY 11429, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1607954400,107,2020-12-14 09:00:00-05:00,9,2020-12-14
"102-29 215th St, Jamaica, NY 11429, USA","25-10 30th Ave, Queens, NY 11102, USA",1607954400,82,2020-12-14 09:00:00-05:00,9,2020-12-14
"102-29 215th St, Jamaica, NY 11429, USA","506 Lenox Ave, New York, NY 10037, USA",1607954400,88,2020-12-14 09:00:00-05:00,9,2020-12-14
"1290 St Nicholas Ave, New York, NY 10033, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1607954400,64,2020-12-14 09:00:00-05:00,9,2020-12-14
"1290 St Nicholas Ave, New York, NY 10033, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1607954400,42,2020-12-14 09:00:00-05:00,9,2020-12-14
"1290 St Nicholas Ave, New York, NY 10033, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1607954400,6,2020-12-14 09:00:00-05:00,9,2020-12-14
